,appris_reads
total_reads,1819421136
clipped_reads,1819421136
clipped_reads_%,100.0
filtered_out,1506916
filtered_out_%,0.08
filter_kept,1817914220
filter_kept_%,99.92
transcriptome_aligned_once,1473300405
transcriptome_aligned_once_%,81.04
transcriptome_aligned_many,344613815
transcriptome_aligned_many_%,18.96
transcriptome_total_aligned,1817914220
transcriptome_total_aligned_%,100.0
transcriptome_unaligned,0
transcriptome_unaligned_%,0.0
qpass_aligned_reads,1672891110
qpass_aligned_reads_%,92.02
after_dedup,1672891110
after_dedup_%,100.0
